Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
7.6,7.56,1.4,7.5053596,7.658621,1.7426872,87.19999999999999,84.24802,Good,Good
7.6,7.56,1.4,7.405349,7.6190147,1.6607213,87.19999999999999,84.4095,Good,Good
7.0,7.81,1.2,7.381977,7.5685744,1.567649,84.32857142857142,85.067245,Good,Good
7.5,7.84,1.3,6.953149,7.661667,1.6114478,86.1,82.261345,Good,Good
8.2,8.06,2.2,7.234001,7.6178336,1.508845,83.25714285714285,84.469086,Good,Good
7.7,7.31,2.1,7.422829,7.6509585,1.5457337,84.57142857142858,85.04993,Good,Good
6.2,7.2,2.0,6.9353256,7.4976373,2.1660256,78.14285714285714,79.547745,Good,Good
7.3,7.17,2.0,6.7001925,7.4419847,2.0461283,83.77142857142857,79.32997,Good,Good
5.3,7.62,2.5,7.824908,7.262838,1.7189178,68.84285714285714,87.684586,Medium,Good
7.1,6.98,1.8,6.4926662,7.454356,2.235965,84.61428571428571,77.1003,Good,Good
7.4,6.91,2.0,7.6947465,7.308702,1.5116243,84.61428571428571,88.08098,Good,Good
7.3,7.06,2.8,7.787244,7.319028,1.5155904,79.44285714285714,88.47542,Good,Good
7.5,7.14,2.2,7.4874787,7.292764,1.9446048,83.7,84.51506,Good,Good
7.3,7.17,2.2,7.818601,7.3467317,1.6207166,82.57142857142857,87.88272,Good,Good
7.8,7.23,2.2,7.741559,7.3430967,1.6904273,84.8142857142857,87.09482,Good,Good
7.3,7.11,2.4,7.979777,7.395793,1.6043131,81.62857142857142,88.57675,Good,Good
8.0,7.11,2.7,7.7433653,7.347443,1.757519,83.32857142857142,86.68267,Good,Good
8.2,7.09,2.2,8.095952,7.3020463,1.761409,87.41428571428571,88.61683,Good,Good
7.7,7.12,2.3,8.390685,7.1129184,1.9856687,84.1857142857143,89.55548,Good,Good
8.2,7.28,2.2,8.504481,7.104356,1.9296012,86.6,90.49756,Good,Excellent
8.6,7.25,1.7,8.863937,7.155114,1.8300639,91.72857142857143,92.67453,Excellent,Excellent
8.4,7.22,1.3,8.934902,7.13412,1.5711778,93.25714285714285,94.67265,Excellent,Excellent
8.7,7.19,1.2,8.775658,7.1503377,1.4756342,95.48571428571428,94.38018,Excellent,Excellent
8.6,7.11,1.2,8.815498,7.1444507,1.4097106,95.32857142857142,95.00015,Excellent,Excellent
8.9,7.13,1.1,8.761435,7.126387,1.4130564,97.34285714285713,94.78717,Excellent,Excellent
9.0,7.25,1.1,8.811594,7.13148,1.3634051,97.32857142857142,95.31406,Excellent,Excellent
9.4,7.19,1.0,8.859605,7.167509,1.3283288,100.0,95.61016,Excellent,Excellent
9.2,7.24,1.2,9.01598,7.163322,1.287107,97.77142857142856,96.65731,Excellent,Excellent
9.1,7.21,1.2,8.970902,7.169501,1.316953,97.39999999999999,96.226364,Excellent,Excellent
9.3,7.15,1.5,8.910189,7.164678,1.3288072,96.85714285714286,95.872345,Excellent,Excellent
8.2,8.44,3.4,7.625169,8.265431,3.6866722,74.42857142857142,70.582535,Good,Good
8.0,8.42,3.7,7.9975414,8.229024,3.4396496,71.71428571428571,74.082565,Good,Good
7.0,8.39,4.1,7.722063,8.229639,3.7373667,64.44285714285715,70.91624,Medium,Good
6.5,8.32,4.2,7.036886,8.184376,4.016015,61.64285714285714,66.01244,Medium,Medium
6.8,8.28,4.2,6.7479706,8.127461,4.081819,63.31428571428572,64.41696,Medium,Medium
7.0,8.42,3.8,6.8009243,8.110855,4.1406484,66.11428571428571,64.399925,Medium,Medium
7.2,8.41,3.7,7.121167,8.216704,3.9517603,67.75714285714285,66.680824,Medium,Medium
7.0,8.45,3.5,7.3118806,8.234467,3.8799167,67.78571428571429,67.98933,Medium,Medium
7.4,8.43,3.4,7.2389607,8.247187,3.7229795,70.47142857142858,68.51185,Good,Medium
8.5,8.4,3.2,7.6402216,8.276332,3.598116,77.3,71.14242,Good,Good
8.9,8.45,2.9,8.880169,8.343258,3.4021997,80.8857142857143,78.230835,Good,Good
10.1,8.3,2.9,9.35725,8.383446,3.1277683,87.52857142857141,82.09059,Good,Good
7.5,7.95,3.4,7.516645,8.117021,3.427898,73.02857142857142,72.22861,Good,Good
7.8,7.91,3.2,7.6717567,7.9964037,3.3422685,75.89999999999999,74.034874,Good,Good
8.3,7.94,3.0,7.951344,8.015717,3.292271,79.47142857142858,75.650024,Good,Good
7.8,8.05,3.5,8.442214,8.063837,3.115888,73.5,78.95644,Good,Good
8.1,7.95,3.2,7.8374186,8.027809,3.4831543,77.22857142857143,73.88328,Good,Good
8.2,8.02,3.2,8.129557,7.9978256,3.3278325,77.42857142857143,76.404396,Good,Good
8.2,7.98,2.5,8.212597,8.027345,3.3204198,81.8,76.737564,Good,Good
8.2,8.07,2.7,8.473479,8.055527,2.8000667,80.21428571428571,81.04331,Good,Good
8.5,8.1,2.5,8.440267,8.0963125,2.8948069,82.78571428571429,80.13401,Good,Good
9.0,8.04,2.2,8.749309,8.153586,2.7268457,87.34285714285714,82.44153,Good,Good
9.3,8.1,2.4,8.996756,8.141304,2.4391112,87.38571428571429,85.45781,Good,Good
9.8,8.01,2.1,9.161988,8.188298,2.5572834,92.07142857142858,85.37354,Excellent,Good
5.9,7.91,1.8,6.6757135,7.959611,2.0907772,74.8,76.72129,Good,Good
6.2,7.57,1.2,6.5767612,7.9480243,2.253104,81.35714285714285,75.30223,Good,Good
