Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
8.1,7.5,1.3,7.404015,7.500437,1.3632165,100.0,92.0,Excellent,Excellent
8.6,8.2,2.8,8.789922,8.270048,2.6713138,94.0,94.0,Excellent,Excellent
8.4,8.2,2.6,8.746153,8.227546,2.7780035,94.0,94.0,Excellent,Excellent
8.2,8.0,2.6,8.59492,8.203373,2.7100494,94.0,94.0,Excellent,Excellent
8.4,8.2,2.4,8.327985,8.084057,2.6901562,94.0,94.0,Excellent,Excellent
8.6,8.2,2.6,8.562544,8.181137,2.624423,94.0,94.0,Excellent,Excellent
8.4,8.4,2.4,8.665229,8.202923,2.712224,94.0,94.0,Excellent,Excellent
8.4,8.2,2.6,8.641138,8.255991,2.6060958,94.0,94.0,Excellent,Excellent
8.4,8.3,2.6,8.5506935,8.194313,2.697176,94.0,94.0,Excellent,Excellent
8.6,8.4,2.6,8.587435,8.22146,2.6923876,94.0,94.0,Excellent,Excellent
8.6,8.4,2.6,8.771055,8.257515,2.6494389,94.0,94.0,Excellent,Excellent
9.6,7.1,1.6,8.801168,8.263864,2.6312666,100.0,94.0,Excellent,Excellent
10.5,7.0,1.5,9.410015,7.150027,1.7177594,100.0,100.0,Excellent,Excellent
9.5,7.2,1.7,9.620996,7.1543236,1.4398544,100.0,100.0,Excellent,Excellent
10.4,7.1,1.6,9.385135,7.230036,1.5927668,100.0,100.0,Excellent,Excellent
9.6,7.1,1.7,9.796758,7.202027,1.411308,100.0,100.0,Excellent,Excellent
8.6,8.2,2.4,9.469479,7.19488,1.4873595,94.0,100.0,Excellent,Excellent
8.2,8.1,2.4,8.639199,7.92367,2.2751272,94.0,94.0,Excellent,Excellent
8.8,8.4,2.6,8.422202,7.8682194,2.3053696,94.0,94.0,Excellent,Excellent
8.8,7.6,1.6,8.631775,7.8839903,2.3477364,100.0,94.0,Excellent,Excellent
7.8,8.0,1.8,8.743942,7.7414174,1.6500468,92.0,100.0,Excellent,Excellent
8.1,8.1,1.4,8.002834,7.8161488,1.8704884,100.0,100.0,Excellent,Excellent
7.6,7.5,1.4,8.099366,7.799565,1.6562138,92.0,100.0,Excellent,Excellent
7.5,7.5,1.4,7.9660187,7.7800093,1.7069649,92.0,92.0,Excellent,Excellent
7.6,7.6,1.2,7.8313,7.7742114,1.7412487,92.0,92.0,Excellent,Excellent
7.5,7.6,1.4,7.5855865,7.7306104,1.6343555,92.0,92.0,Excellent,Excellent
7.5,7.5,1.6,7.529485,7.732268,1.7646313,92.0,92.0,Excellent,Excellent
7.6,7.4,1.2,7.556589,7.7368703,1.9528366,92.0,92.0,Excellent,Excellent
7.0,7.6,1.6,7.3584476,7.7102113,1.9099094,92.0,92.0,Excellent,Excellent
6.6,7.5,1.4,6.9549294,7.663855,1.9562932,92.0,92.0,Excellent,Excellent
6.7,7.4,1.6,6.670229,7.6589503,2.021094,92.0,86.0,Excellent,Good
6.7,7.7,1.4,6.927871,7.57142,1.7843007,92.0,92.0,Excellent,Excellent
6.6,7.8,1.2,6.89124,7.6269913,1.7044761,92.0,92.0,Excellent,Excellent
7.0,7.6,1.2,6.8692145,7.665065,1.6590129,92.0,92.0,Excellent,Excellent
6.9,7.6,1.4,7.0947943,7.53352,1.4441187,92.0,92.0,Excellent,Excellent
6.6,7.6,1.4,7.0821857,7.5383887,1.4768603,92.0,92.0,Excellent,Excellent
